source_id,name,query,role_focus,required_accept_filter,hard_reject_filter,proof_url
S0055,Go Remote Jobs,https://www.google.com/search?q=%22Golang%22+%22remote%22+%22worldwide%22+%22careers%22,Golang,"worldwide OR ""anywhere in the world"" OR ""work from anywhere"" OR ""global remote"" OR ""no location restrictions""","""US only"" OR ""UK only"" OR ""EU only"" OR ""Europe only"" OR ""Canada only"" OR ""must be authorized"" OR hybrid OR onsite",https://www.google.com/search?q=%22Golang%22+%22remote%22+%22worldwide%22+%22careers%22
S0056,Rust Remote Jobs,https://www.google.com/search?q=%22Rust%22+%22remote%22+%22worldwide%22+%22careers%22,Rust,"worldwide OR ""anywhere in the world"" OR ""work from anywhere"" OR ""global remote"" OR ""no location restrictions""","""US only"" OR ""UK only"" OR ""EU only"" OR ""Europe only"" OR ""Canada only"" OR ""must be authorized"" OR hybrid OR onsite",https://www.google.com/search?q=%22Rust%22+%22remote%22+%22worldwide%22+%22careers%22
S0057,React Remote Jobs,https://www.google.com/search?q=%22React%22+%22remote%22+%22worldwide%22+%22careers%22,React,"worldwide OR ""anywhere in the world"" OR ""work from anywhere"" OR ""global remote"" OR ""no location restrictions""","""US only"" OR ""UK only"" OR ""EU only"" OR ""Europe only"" OR ""Canada only"" OR ""must be authorized"" OR hybrid OR onsite",https://www.google.com/search?q=%22React%22+%22remote%22+%22worldwide%22+%22careers%22
S0058,Kubernetes Remote Jobs,https://www.google.com/search?q=%22Kubernetes%22+%22remote%22+%22worldwide%22+%22careers%22,DevOps / Cloud,"worldwide OR ""anywhere in the world"" OR ""work from anywhere"" OR ""global remote"" OR ""no location restrictions""","""US only"" OR ""UK only"" OR ""EU only"" OR ""Europe only"" OR ""Canada only"" OR ""must be authorized"" OR hybrid OR onsite",https://www.google.com/search?q=%22Kubernetes%22+%22remote%22+%22worldwide%22+%22careers%22
S0059,AI Engineer Worldwide Remote,https://www.google.com/search?q=%22AI+Engineer%22+%22remote%22+%22worldwide%22+%22careers%22,AI / ML,"worldwide OR ""anywhere in the world"" OR ""work from anywhere"" OR ""global remote"" OR ""no location restrictions""","""US only"" OR ""UK only"" OR ""EU only"" OR ""Europe only"" OR ""Canada only"" OR ""must be authorized"" OR hybrid OR onsite",https://www.google.com/search?q=%22AI+Engineer%22+%22remote%22+%22worldwide%22+%22careers%22
S0060,Data Engineer Worldwide Remote,https://www.google.com/search?q=%22Data+Engineer%22+%22remote%22+%22worldwide%22+%22careers%22,Data Engineering,"worldwide OR ""anywhere in the world"" OR ""work from anywhere"" OR ""global remote"" OR ""no location restrictions""","""US only"" OR ""UK only"" OR ""EU only"" OR ""Europe only"" OR ""Canada only"" OR ""must be authorized"" OR hybrid OR onsite",https://www.google.com/search?q=%22Data+Engineer%22+%22remote%22+%22worldwide%22+%22careers%22
S0065,Greenhouse indexed jobs - software engineer,"site:boards.greenhouse.io ""software engineer"" remote worldwide OR ""anywhere in the world""",Software Engineer,"worldwide OR ""anywhere in the world"" OR ""work from anywhere"" OR ""global remote"" OR ""no location restrictions""","""US only"" OR ""UK only"" OR ""EU only"" OR ""Europe only"" OR ""Canada only"" OR ""must be authorized"" OR hybrid OR onsite","site:boards.greenhouse.io ""software engineer"" remote worldwide OR ""anywhere in the world"""
S0066,Greenhouse indexed jobs - backend engineer,"site:boards.greenhouse.io ""backend engineer"" remote worldwide OR ""anywhere in the world""",Backend Engineer,"worldwide OR ""anywhere in the world"" OR ""work from anywhere"" OR ""global remote"" OR ""no location restrictions""","""US only"" OR ""UK only"" OR ""EU only"" OR ""Europe only"" OR ""Canada only"" OR ""must be authorized"" OR hybrid OR onsite","site:boards.greenhouse.io ""backend engineer"" remote worldwide OR ""anywhere in the world"""
S0067,Greenhouse indexed jobs - frontend engineer,"site:boards.greenhouse.io ""frontend engineer"" remote worldwide OR ""anywhere in the world""",Frontend Engineer,"worldwide OR ""anywhere in the world"" OR ""work from anywhere"" OR ""global remote"" OR ""no location restrictions""","""US only"" OR ""UK only"" OR ""EU only"" OR ""Europe only"" OR ""Canada only"" OR ""must be authorized"" OR hybrid OR onsite","site:boards.greenhouse.io ""frontend engineer"" remote worldwide OR ""anywhere in the world"""
S0068,Greenhouse indexed jobs - full stack engineer,"site:boards.greenhouse.io ""full stack engineer"" remote worldwide OR ""anywhere in the world""",Full Stack Engineer,"worldwide OR ""anywhere in the world"" OR ""work from anywhere"" OR ""global remote"" OR ""no location restrictions""","""US only"" OR ""UK only"" OR ""EU only"" OR ""Europe only"" OR ""Canada only"" OR ""must be authorized"" OR hybrid OR onsite","site:boards.greenhouse.io ""full stack engineer"" remote worldwide OR ""anywhere in the world"""
S0069,Lever indexed jobs - software engineer,"site:jobs.lever.co ""software engineer"" remote worldwide OR ""anywhere in the world""",Software Engineer,"worldwide OR ""anywhere in the world"" OR ""work from anywhere"" OR ""global remote"" OR ""no location restrictions""","""US only"" OR ""UK only"" OR ""EU only"" OR ""Europe only"" OR ""Canada only"" OR ""must be authorized"" OR hybrid OR onsite","site:jobs.lever.co ""software engineer"" remote worldwide OR ""anywhere in the world"""
