ID,Tier,Source Group,Source Name,Source Type,Scrape Target / Query,Seed Domain,Country / HQ Focus,Role Focus,Why Strong,Bangladesh Fit Rule,Required Accept Filter,Hard Reject Filter,Scrape Frequency,Notes / Compliance,Proof / Reference URL
S0001,Tier 1,Direct job board/API/RSS,Real Work From Anywhere,Curated worldwide remote board,https://www.realworkfromanywhere.com/,www.realworkfromanywhere.com,Global / mixed,Engineering / Developer / IT,Curated for work-from-anywhere jobs with no location restrictions.,Accept only if role text allows Worldwide / Anywhere / Global remote / contractor international.,"worldwide OR ""anywhere in the world"" OR ""work from anywhere"" OR ""global remote"" OR ""no location restrictions""","""US only"" OR ""UK only"" OR ""EU only"" OR ""Europe only"" OR ""Canada only"" OR ""must be authorized"" OR hybrid OR onsite",Daily morning,"Respect robots.txt, terms, attribution, rate limits. Do not repost where source forbids it.",https://www.realworkfromanywhere.com/
S0002,Tier 1,Direct job board/API/RSS,Real Work From Anywhere RSS,RSS feed hub,https://www.realworkfromanywhere.com/rss-feeds,www.realworkfromanywhere.com,Global / mixed,Engineering / Developer / IT,RSS feed hub for work-from-anywhere jobs.,Accept only if role text allows Worldwide / Anywhere / Global remote / contractor international.,"worldwide OR ""anywhere in the world"" OR ""work from anywhere"" OR ""global remote"" OR ""no location restrictions""","""US only"" OR ""UK only"" OR ""EU only"" OR ""Europe only"" OR ""Canada only"" OR ""must be authorized"" OR hybrid OR onsite",Daily morning,"Respect robots.txt, terms, attribution, rate limits. Do not repost where source forbids it.",https://www.realworkfromanywhere.com/rss-feeds
S0003,Tier 1,Direct job board/API/RSS,Real Work From Anywhere Software Developer,Category page,https://www.realworkfromanywhere.com/remote-software-developer-jobs,www.realworkfromanywhere.com,Global / mixed,Software Developer,Work-from-anywhere software roles.,Accept only if role text allows Worldwide / Anywhere / Global remote / contractor international.,"worldwide OR ""anywhere in the world"" OR ""work from anywhere"" OR ""global remote"" OR ""no location restrictions""","""US only"" OR ""UK only"" OR ""EU only"" OR ""Europe only"" OR ""Canada only"" OR ""must be authorized"" OR hybrid OR onsite",Daily morning,"Respect robots.txt, terms, attribution, rate limits. Do not repost where source forbids it.",https://www.realworkfromanywhere.com/remote-software-developer-jobs
S0004,Tier 1,Direct job board/API/RSS,Real Work From Anywhere Backend,Category page,https://www.realworkfromanywhere.com/remote-backend-jobs,www.realworkfromanywhere.com,Global / mixed,Backend Engineer,Work-from-anywhere backend roles.,Accept only if role text allows Worldwide / Anywhere / Global remote / contractor international.,"worldwide OR ""anywhere in the world"" OR ""work from anywhere"" OR ""global remote"" OR ""no location restrictions""","""US only"" OR ""UK only"" OR ""EU only"" OR ""Europe only"" OR ""Canada only"" OR ""must be authorized"" OR hybrid OR onsite",Daily morning,"Respect robots.txt, terms, attribution, rate limits. Do not repost where source forbids it.",https://www.realworkfromanywhere.com/remote-backend-jobs
S0005,Tier 1,Direct job board/API/RSS,Real Work From Anywhere Frontend,Category page,https://www.realworkfromanywhere.com/remote-frontend-jobs,www.realworkfromanywhere.com,Global / mixed,Frontend Engineer,Work-from-anywhere frontend roles.,Accept only if role text allows Worldwide / Anywhere / Global remote / contractor international.,"worldwide OR ""anywhere in the world"" OR ""work from anywhere"" OR ""global remote"" OR ""no location restrictions""","""US only"" OR ""UK only"" OR ""EU only"" OR ""Europe only"" OR ""Canada only"" OR ""must be authorized"" OR hybrid OR onsite",Daily morning,"Respect robots.txt, terms, attribution, rate limits. Do not repost where source forbids it.",https://www.realworkfromanywhere.com/remote-frontend-jobs
S0006,Tier 1,Direct job board/API/RSS,Himalayas Jobs API,Public JSON API,https://himalayas.app/api,himalayas.app,Global / mixed,Engineering / Developer / IT,Free public JSON API with filtering.,Accept only if role text allows Worldwide / Anywhere / Global remote / contractor international.,"worldwide OR ""anywhere in the world"" OR ""work from anywhere"" OR ""global remote"" OR ""no location restrictions""","""US only"" OR ""UK only"" OR ""EU only"" OR ""Europe only"" OR ""Canada only"" OR ""must be authorized"" OR hybrid OR onsite",Daily morning,"Respect robots.txt, terms, attribution, rate limits. Do not repost where source forbids it.",https://himalayas.app/api
S0007,Tier 1,Direct job board/API/RSS,Himalayas Remote Jobs,Job board,https://himalayas.app/jobs,himalayas.app,Global / mixed,Engineering / Developer / IT,Remote job board with country/timezone filters.,Accept only if role text allows Worldwide / Anywhere / Global remote / contractor international.,"worldwide OR ""anywhere in the world"" OR ""work from anywhere"" OR ""global remote"" OR ""no location restrictions""","""US only"" OR ""UK only"" OR ""EU only"" OR ""Europe only"" OR ""Canada only"" OR ""must be authorized"" OR hybrid OR onsite",Daily morning,"Respect robots.txt, terms, attribution, rate limits. Do not repost where source forbids it.",https://himalayas.app/jobs
S0008,Tier 1,Direct job board/API/RSS,Himalayas Worldwide Jobs,Search page,https://himalayas.app/jobs?location=worldwide,himalayas.app,Global / mixed,Engineering / Developer / IT,Use worldwide filter where available.,Accept only if role text allows Worldwide / Anywhere / Global remote / contractor international.,"worldwide OR ""anywhere in the world"" OR ""work from anywhere"" OR ""global remote"" OR ""no location restrictions""","""US only"" OR ""UK only"" OR ""EU only"" OR ""Europe only"" OR ""Canada only"" OR ""must be authorized"" OR hybrid OR onsite",Daily morning,"Respect robots.txt, terms, attribution, rate limits. Do not repost where source forbids it.",https://himalayas.app/jobs?location=worldwide
S0009,Tier 1,Direct job board/API/RSS,We Work Remotely RSS hub,RSS feed hub,https://weworkremotely.com/remote-job-rss-feed,weworkremotely.com,Global / mixed,Engineering / Developer / IT,Public RSS feed with attribution.,Accept only if role text allows Worldwide / Anywhere / Global remote / contractor international.,"worldwide OR ""anywhere in the world"" OR ""work from anywhere"" OR ""global remote"" OR ""no location restrictions""","""US only"" OR ""UK only"" OR ""EU only"" OR ""Europe only"" OR ""Canada only"" OR ""must be authorized"" OR hybrid OR onsite",Daily morning,"Respect robots.txt, terms, attribution, rate limits. Do not repost where source forbids it.",https://weworkremotely.com/remote-job-rss-feed
S0010,Tier 1,Direct job board/API/RSS,We Work Remotely Programming RSS,RSS feed,https://weworkremotely.com/categories/remote-programming-jobs.rss,weworkremotely.com,Global / mixed,Programming,Programming-specific remote RSS.,Accept only if role text allows Worldwide / Anywhere / Global remote / contractor international.,"worldwide OR ""anywhere in the world"" OR ""work from anywhere"" OR ""global remote"" OR ""no location restrictions""","""US only"" OR ""UK only"" OR ""EU only"" OR ""Europe only"" OR ""Canada only"" OR ""must be authorized"" OR hybrid OR onsite",Daily morning,"Respect robots.txt, terms, attribution, rate limits. Do not repost where source forbids it.",https://weworkremotely.com/categories/remote-programming-jobs.rss
